Category,ProcessedText,SpeakerDialect
كوميدي,سكتي يا خزنه سكتي طايح تعرف في الناس,Khaliji
كوميدي,عرفتي اخوي صقر يمه,Khaliji
كوميدي,فؤاد يا ولدي,Hijazi
كوميدي,رحتو غيرواضح مستشفى,Hijazi
كوميدي,انه هالكلام الفاضي هذا يصير في شركتي هنا بعدين على فكرة حشكل لجنة تحقيق فورية,Najdi
كوميدي,و هالسنة ما وعدتني بالحج وقلت لي ما اقدر عندي تشييش ما ادري تسييس,Hijazi
كوميدي,اس ولا كلمة,Khaliji
كوميدي,ما شاء الله اختي ترى الحريم الباب الثاني,Khaliji
كوميدي,يلا قوم دام مجلس ابو حمدان جلس قدامي ما عندي اي مشكلة,Hijazi
كوميدي,اسوي شذي اجي شذي وارج,Khaliji
كوميدي,انا مالي جمال الملابس,Najdi
كوميدي,خضره وما خضره وعلاج وما علاج وحاجات,Najdi
كوميدي,ايه البر يا ام ريان ايش فيه البر اقول يجنن البر اه عيني على البر الشاعر ايش يقول احب البر والمزيون احب البر والمزيون شفتي كيف,Hijazi
كوميدي,كم بيكلف شغل اليد,Hijazi
كوميدي,اسمعني يا سيدي ان شاء الله و باذن الله اول ما تستعيد املاكك و حلالك انا مستعد للتعاون معك و دحين اذا تامروني اي خدمة ترى انا مستعد,Hijazi
كوميدي,ها طمني يا صدقة,Hijazi
كوميدي,بسرعة عفريت الدنيا كلها تتنطط قدامي الحين,Hijazi
كوميدي,غلطانة احين احين تقولين غلطانة ها يوم علمش ابوش يوم دريت اني انا ما عندي فلوس اني ان الورث طلع خرطي لكن ما عليه يا رحمة الايام بيننا يا رحموه,Khaliji
كوميدي,ثانيا سالفة محاولة اغتيال حاس انا انها فيها مبالغة شوي,Khaliji
كوميدي,ايه سمايل سمايل,Najdi
كوميدي,وخر وخر وخر,Khaliji
كوميدي,الا وقته ونص بعدين قوليلها ترى حنا اخوانها يعني لازم تساعدنا حنا وقت الشدة,Najdi
كوميدي,تنحاشون من المدرسة,Hijazi
كوميدي,ان يكون ساكنا في حي العليا ان يكون ساكنا في حي العليا,Najdi
كوميدي,شنطة الشغل هاي شنطة الشغل,Khaliji
كوميدي,ميه وثلاثين وميه وخمستاش بعد الخصم,Khaliji
كوميدي,طيب طبعا انتو حاسين كل هالبرود حولكم لانه ما في عملاء,Hijazi
كوميدي,و يلا بالسنة بجي اخذك الصبح بدري بكرا,Najdi
كوميدي,النجمة الكبيرة يا فنانتنا وصيتلك على شوية فواكه,Khaliji
كوميدي,اوه الورث هذا سبب علينا اشياء وايد هالورث فاهم انا الورث والورث,Hijazi
كوميدي,هاهاها لا يا حبيبي هاذا تاريخ و معروف بعد اجل وش بتقول اذا عرفت وش صار بعد كده,Khaliji
كوميدي,سكر الباب,Hijazi
كوميدي,محاسن شفتي عبير دوبها راحت,Hijazi
كوميدي,والله شكلك مو عاجبني,Hijazi
كوميدي,اربعطعشر الف ريال وكلها صرفناها على الفندق وما كفت هاهاها ايه هاهاها اربعطعشر هاهاها اربعطعشر الف صدقني صدقني يا خليفة,Khaliji
كوميدي,والموعد القادم ان شاء الله اشوفك,Najdi
كوميدي,فتحية فتحية فتحية,Khaliji
كوميدي,ابيك تحذر الرجال بصفتك الكفيل الحضوري وبس,Hijazi
كوميدي,او او موضوع يعني موضوع وي وي هذا موضوع خطبتي من معيض معيض,Khaliji
كوميدي,يا ويله يا ويله يا بنت الناس الله يرحم والديك شوف لنا حل في في حديقة الحيوانات اللي عندك فيها الحجره كلهم طمروا ناصر صورته هذه تقوم تصايح علينا هذه ما عمرها شافت شي الا في عالم الحيوان صرصور بس هاي اللي طلع برا شو بيصير,Hijazi
كوميدي,هونها هونها و تهون يا يبا,Hijazi
كوميدي,الناس ما تحلا لهم الاشياء الا لما يشوفوا غيرهم يسوونها,Najdi
كوميدي,هلا هلا ابو مطرهلا بالطش والرش هلا هلا بيك هلا,Hijazi
كوميدي,وكلم الحلوة ذي,Najdi
كوميدي,يسمعك توجه يقول متزوج من وحدة من بولندا,Najdi
كوميدي,وانت يا دحيم,Khaliji
كوميدي,يا ابو بدر,Khaliji
كوميدي,حسبي الله ونعم الوكيل عليك يا خلف يا الحسن,Hijazi
كوميدي,هذا الخبر الثاني اللي كنت بقولكم عليه الاخت ندى بتكون معانا الفترة القادمة جاية تدرب ان شا الله معانا ان شا الله منتو مقصرين معاها وجود لك في الورك شوب ان شا الله,Najdi
كوميدي,الله يسلمك,Hijazi
كوميدي,بليز وضحى,Hijazi
كوميدي,عسى ما شر ايش فيك,Khaliji
كوميدي,اكثر من محطة ولا,Najdi
كوميدي,سويلي شاي,Khaliji
كوميدي,عمي خلف نعم مثل ما رحمة في البداية شرطت علي اي شوف هذا من اخدمك اي مثل ما شرطت علي في البداية بعد انا عندي شرط بعد شروط بعد مو شرط شروط,Hijazi
كوميدي,الفين وسبعمية وتسعة وستين جوال المعزبة يعني لازم تكلم كل الناس وتعلمهم بالطبخات وتعلمهم الحمل واي دكتورة احسن واي دكتورة احسن,Hijazi
كوميدي,معقولة يا دكتور ناظر اول مريض يدخل عيادتي يكون هذا تحريرك لشخصيته و وضعه النفسي,Hijazi
كوميدي,دليل اكثر من هذا يشيك على سيارته كل يوم ويدخل المطبخ مع زوجته ويطبخ ويكنس اعتقد ما في اكبر من هذا الدليل اقول لك هدول ناس خطرين,Najdi
كوميدي,اكيد,Khaliji
كوميدي,ابغاك تاخذي هذه كل الحاجات دي وتحطيها في الجروبات اكبر جروبات وخصوصا الجروباتك,Hijazi
كوميدي,ولكن نشوف لها واحدة تتبادل معها في الاماكن,Najdi
كوميدي,انا مرتاح,Najdi
كوميدي,يقول اهم شيء الصدق والامانة,Hijazi
كوميدي,رقمها لا رقمي انا,Hijazi
كوميدي,كثر الله خيرك يا مبارك مع السلامة من رخصتكم وماتشوف شر ان شاء الله حياك الله,Hijazi
كوميدي,والله يا اخي عز الله مقامك انت والله احسن حاجة في السعودية والله انت,Khaliji
كوميدي,متى بسم الله,Najdi
كوميدي,حنشوي حنشوي ان شاء الله والله زكرتيني بالمشوي,Hijazi
كوميدي,ايه اطردك يعني شنهو من تكون,Najdi
كوميدي,المستشفى ارحم منك,Khaliji
كوميدي,انا لا اسمح,Najdi
كوميدي,يقولك الجو غائم ماشي,Hijazi
كوميدي,لا لا لا ما هي مرشوشة شوف مثل ما انت شايف كل شي كويس,Hijazi
كوميدي,خلاص خلاص يا مطر شد حيلك ابد خلاص ما فيه وقت امسك هذا القفص وهذه اللمبة البيضة وبنصبغها زرقة,Hijazi
كوميدي,بقولك فك عمرك لا يبلشونك انت ولا ولدك فيها,Najdi
كوميدي,خليني اكلم ال الدوريات نبلغهم عن,Hijazi
كوميدي,ما شاء الله اول مرة تقولين الحق كل مشكلة تصير في هالبيت من وراك امونة زنوبة بعدين ادور لك انت دوري لي وانا اخرج لك لا اله الا الله عاوزي من الشيطان لاحسن الافراس حبة سودا تخرج خلي تخرج ونشوف خرجيها لا جدتي يا جدتي ايش فيك طيب يا امونة ايش فيكم طيب يا امونة طيب حتشوفي حتشوفي يا جداتي ايش فيكم قلتبتوها نكد هاهاها يلا يلا يا مروان احنا قاعدين نحتفل ايه ايه يلا قطعي الكيكة يلا قطعي الكيكة قطعي الكيكة يلا تقطع الكيكة قطع الكيكة يلا قطعي اديني وصلة اديها وصلة اكبر وصلة,Hijazi
كوميدي,تفضل تفضل,Hijazi
كوميدي,ليش يا خليفة نسيت كلامك في الاجتماعات انه احنا اخوان والمفروض اننا نتعاون مع بعض,Najdi
كوميدي,اي فندق تبينا نروح,Hijazi
كوميدي,انا بحكم اني مدير اعمالها وقد اجتمعت انا وياها وفكرنا بصوت عالي الحقيقة ووافقنا نوقع العقد معكم ولكن يعني تسمحولي يعني وعلى مضض في بعض الشروط لازم نحطها,Najdi
كوميدي,خليفة خليفة ما حد قالك لا تكون شركة استثمارية بس كونها هني في البلد وبلدنا اولى بفلوسنا يا خليفة,Hijazi
كوميدي,بس انت عندك السكر,Hijazi
كوميدي,يعني قصدك نتفق عليهم و نخلي كلمتنا وحدة,Khaliji
كوميدي,فانا اقترح عليكم ها,Najdi
كوميدي,لا ميتين وخمسين فيها نقص فيها نقص هاذي فيها نقص احنا نبي اكثر ما ترهن سيارتك ترى ارهن سيارتك,Khaliji
كوميدي,اي وانا اشوف الرجال ما في عيب,Najdi
كوميدي,يا قلبو خلاص يا حبيبي انت فاكرني زي الشغالة لا يا قلبي الشغالة قده بح باي باي لندن زي ما انت شايف انا الان عندي جروباتي احل مشاكلهم انا اهم من فنيشيستا انت عارف,Hijazi
كوميدي,كل همه غيره يطيح,Khaliji
كوميدي,ورا ما يذلف ذا الحقنة خلينا نشوف شغلنا,Najdi
كوميدي,تسعين الف,Najdi
كوميدي,والله انتم الطيبين ولاتنسى انه ابوي وعمي دنحي وابوك بعد كانوا اصحاب وكان بينهم بزنس وشغل و يعني من زمان,Hijazi
كوميدي,واذا انعزمت في جواز صاحبك لازم تاخد المشلح معاك,Hijazi
كوميدي,لا لا لا ابو سليمان انا حالف ما فكه حالف ما فكه الين يسفرونه ويرحلونه او يسجنونه,Khaliji
كوميدي,والله شيء يبكي,Hijazi
كوميدي,ما سمعت منهم شي متضايقين من حاجة ما عندنا احد قلي,Najdi
كوميدي,عمر الظفر ما يطلع من اللحم,Khaliji
كوميدي,منو,Khaliji
كوميدي,قسم بالله انش فاغرة,Hijazi
كوميدي,اهلي وين راحوا,Hijazi
كوميدي,صح صح صدق صدق انا بودي اروح للبيت انا مو بعلشان ترى اني زهقان منك ماني زهقان ابد ابد ابد ماني بزهقان بس ابي اروح عشان اذاكر صدق عندنا واجب املا,Hijazi
كوميدي,كم,Khaliji
كوميدي,اقول ا ام عنبر كاني سمعت تقولين ثلاثين الف,Khaliji
كوميدي,فقد حصل المرشح تركي بن صالح على ثمانين الف صوت,Najdi
كوميدي,بنسافر ان شاء الله للدوحة,Khaliji
كوميدي,اخاف انا منكم,Khaliji
كوميدي,الفندق يطالبك ميه وثلاثة وعشرين الف ريال,Najdi
كوميدي,بنت بوقفو,Hijazi
كوميدي,في المويه اللي في الثلاجة,Najdi
كوميدي,من كانت قلوبكم على بعض,Najdi
كوميدي,هاهاها يلا بعت,Najdi
كوميدي,ما قلتلك يا حزنة,Khaliji
كوميدي,خايف من ويش خايف,Najdi
كوميدي,ياخزنة حرام عليك متمتع حالك فوق السرير وماخذه كاملة معطتني الشارشف يا خزنة ياخزنة قومي شوفي اللي ذا قرصني,Najdi
كوميدي,وين اروح,Khaliji
كوميدي,حقيقة الشرهة مهي بعليك انت رجل حقيقة ما ينشهر عليك الشرهة علي انا اللي انا اشتري ارض جنبك وابني حولك,Najdi
كوميدي,رحيمة,Hijazi
كوميدي,صل على النبي,Khaliji
كوميدي,سويلم وش تسوي ونا ابوك,Najdi
كوميدي,ليش الكلام هذا بلا كمين بلا بشكلك انت وهو اسمع واد بخبرتي العسكرية ابغى اقولك حاجتين واسمعها كويس,Hijazi
كوميدي,لو كا تيجي تزورنا دايما ما ضيعت البيت اسمع الله يسلمك,Khaliji
كوميدي,ها كفالة صعبه كفالة محد يكفل اليوم من يكفل,Najdi
كوميدي,عندي لك علم ما يسرك,Najdi
كوميدي,ها,Hijazi
كوميدي,بعيدة بعيدة و احمدي ربك ما سكنا في الخارج هاهاها كنت اعتقد الخمسمية الف,Najdi
كوميدي,ادخل,Khaliji
كوميدي,طلعوا من السجن طلعوا اليوم قبل باكر,Khaliji
كوميدي,في الاخير ما طب ولا على راسي يا ولدي,Khaliji
كوميدي,انس انس هذا الموضوع سالفة التمثيل مو بنافعينك اهل الفن مو بنافعينك وبالنسبة للتمثيل محلولة عندي بالمكتب مثل بالمكتب هنا مرايات وايش كثرها ها وعندي مسجل شاريه من البطحة بمية وعشرين ريال له مكرفون,Najdi
كوميدي,والاهمال ايضا جاء من المدرسة ايشلون المفروض انكم انتوا الاثنين تهتمون مع بعض وتواصلون مع بعض اي ان البيت لازم يسالون عن سويلم باستمرار في المدرسة والمدرسة تخبركم باي امور تحدث,Khaliji
كوميدي,فقر الفقر مو عيب يا يبه عمر الناس ما كانت بفلوسها,Khaliji
كوميدي,شكرا لاتصالك عزيزي يا خوي ما عندكم بريك,Najdi
كوميدي,طيب ايه يعني تروح تغسله وتلبسه على طول هاهاها,Najdi
كوميدي,مديرة القروب بتمسي عليكم,Hijazi
كوميدي,اقول تستهبل انت ووجهك,Khaliji
كوميدي,لا يرد القضاء الا الدعاء,Khaliji
كوميدي,تلميذي حجة القانون الاستاذ مجدي,Hijazi
كوميدي,ارجو ان تبلغ تحياتي الى مدير اوتيل الاخ اللي واقف برا والى جميع المسؤولين على حسب التسلسل الاداري,Hijazi
كوميدي,ما يصير والله ما يصير,Najdi
كوميدي,وين رايح يمه,Najdi
كوميدي,يلا,Najdi
كوميدي,بشير,Khaliji
كوميدي,الحين ادخل على التحكيم في الجولة القادمة,Najdi
كوميدي,ايه نعم حديقتي عندك مانع,Najdi
كوميدي,اه الحقيقة يعني,Najdi
كوميدي,اه,Najdi
كوميدي,اهم شيء,Hijazi
كوميدي,سلمات ايش فيك,Hijazi
