Category,ProcessedText,SpeakerDialect
اطفال,طيب هو اخ مكار لو الزعيم وافق يعني وراح نشتغل معاكم يعني ايه ممكن يكون يعني من نصيبنا كم في العملية دي,Khaliji
اطفال,ا بس انا انا كيف خرجت من المخزن,Khaliji
اطفال,يا منظم يا منظم الحقنا الحقنا الحقنا يا منظم الحقنا,Hijazi
اطفال,يعني يعني يعني انا ماني فاهم,Hijazi
اطفال,لون سيارة الوالد,Najdi
اطفال,حاضر حاضر يلا يلا يا عيد,Hijazi
اطفال,طب ابغى اصير بحار,Khaliji
اطفال,سمعت عشان كذه يا صديقي انا اقول لك خفف اكل علشان الكرش هذا يروح وعلشان صحتك,Khaliji
اطفال,الله يستر,Hijazi
اطفال,ليه يا ريحان هي هذه الحكاية كمان فيها خطر على حياتي,Khaliji
اطفال,قلت لك يا سعد كل اهل القرية,Najdi
اطفال,قومي سويلي قهوة,Najdi
اطفال,ابعد,Hijazi
اطفال,انه الواحد لازم يتقدم وفق الاهداف د,Hijazi
اطفال,ايواه مسافرين,Hijazi
اطفال,هو لا ما رح توصل المعلومات لمستبد,Hijazi
اطفال,والله ما ادري والله والله محمد كان ثابت عند موقفه طول فترة الاختبار وما غيرت رايك انت كدا صح ومحمد المدرس وخالد كانوا غلطانين ونجحت فعلا بالاختبار رغم دموعك بس حنا عارفينك وعارفين انك ثابت وما تغير موقفك هذا الاختبار سلط الضوء على قطع حبل التواصل في بعض الاحيان,Hijazi
اطفال,لهذه الدرجة هو متعلق فيه,Khaliji
اطفال,حنسجن,Khaliji
اطفال,اللي بعده لويس باستير هو متخصص في البسترة سموه بسترة لانه اسمه بس على اسمه سواء داء الكلاب,Najdi
اطفال,اذا انت حبيت ان انت تفضل هنا في القرية,Khaliji
اطفال,ليه كذا ليه كذا,Najdi
اطفال,الوحش ما رح ينتقم مننا لانو الوحش,Hijazi
اطفال,مما تتكلم تتكون,Najdi
اطفال,شهد السرحان مين شهد السرحان هذا,Khaliji
اطفال,الفرد نحو بلاده انه يعيش يبني امجاده ويبقى مصيره دايما ليكم اهلا بيكم واجب الفرد نحو بلاده,Khaliji
اطفال,اه هذي سهلة هاها اصافح الناس,Hijazi
اطفال,استنى يا سلامة,Najdi
اطفال,اتفضل علي بابا وشي ولا السلام عليكم عليكم,Khaliji
اطفال,انا انا لسه تعبانة يا سمورة,Hijazi
اطفال,يصير خير معلش ايش ايش الكلام حقك هذا هو لعب عيال ولا ايش,Khaliji
اطفال,سيدتي الجميلة,Hijazi
اطفال,يعني التصريح امره بسيط,Hijazi
اطفال,هاهاها,Hijazi
اطفال,موت موت الظل ياسيدي موت هاهاها ا والله الواحد تعب من الوقفة اه انا افكر انام شوية احسن,Khaliji
اطفال,الذين غيرواضح ما التصاقه في جلد العضلات والغضاريف والكبد,Najdi
اطفال,نعم هو مشاكل ايش رايك تطلعلهم برا وتقوليلهم انو جدو مو هنا في المطبخ,Khaliji
اطفال,ايش,Hijazi
اطفال,طال عمرك,Khaliji
