Category,ProcessedText,SpeakerDialect
درامي,بعيد ي عني,Najdi
اطفال,نفس الشي هذا مستحيل مستحيل يحصل,Khaliji
درامي,ارجوك اعتبر الموضوع عادي,Najdi
درامي,طبعا طبعا يا خالي بالتاكيد انا راح انبه عليهم,Khaliji
درامي,خلاص خلاص لا تزعل نفسك يوبا لا تزعل نفسك انا البس واجيك,Khaliji
اطفال,مطعم ريتال واحمد ليه البيض المسلوق البيض العيون هاهاها يقولكم اهلا وسهلا فيكم هاهاها طيب شوف,Najdi
كوميدي,اي مشكلة يا ابن الحلال,Hijazi
اطفال,خلي ماما تجلس معاي,Hijazi
درامي,هذول واجد,Khaliji
كوميدي,واضح والدليل ابو فنة وشجاع ومصطفى والفرق المدرسة والسجاير والشخبطة الجدران السنة ما عاد بشير سواق شيوخ,Khaliji
درامي,والعين عليه والمستودع اللي هو مخبي فيه الاغراض ما عليه حراسة لان احتياطي وما يبي يدل العالم,Najdi
درامي,يام سعود يا عيوني يا حبيبتي انتي حرمتك الدين تشقين على عيالك واليوم اللي تقعدين فيه بخسارة عليك وام ابراهيم صارت حرمة كبيرة ما تقدر مثل اول تشيل وتعين وتساعد,Najdi
اطفال,طيب كيف اروح,Najdi
درامي,اقول عطني يوم خمسمئة واوديك بغيت الاردن,Najdi
كوميدي,راح يبيلنا شيخ يا غيرواضح هالحين لا قلت بسم الله الرحمن الرحيم بحي الله ما تلقى واحد منهم حوله بعدين يا مل القناة اقرا اية الكرسي اقرا المعوذات قبل لا تنام,Khaliji
اطفال,على شان لا حد يغدر بيا,Hijazi
درامي,عصام عيوني,Najdi
اطفال,مسكتوه طيب,Khaliji
كوميدي,بناله بيت جمعله رصيد,Khaliji
اطفال,انت ايش بتقول ايش بتقول يعني انا انا كان ممكن اموت على الطاولة هادي,Khaliji
اطفال,مالهم دول كده نايمين طب وبعدين يا ام الخير الخيمة ما فيها اكل بالمرة انت ايش حتسوي ودول نايمين ولا حيصحوا لا بكرة ولا بعد بكرة يمكن ام الخير هتفضل جوعانة كده على طول وكمان بابا فرحان وسندباد ما هم موجودين,Najdi
درامي,اسمع يا يمه المرة دي عشانش لكن ثاني مرة ابذبحها تفهمين انت ولا لا,Khaliji
اطفال,اخوي و واجب علي اني انا اساعده,Najdi
اطفال,مسموم,Khaliji
درامي,ايش الدعوة يا سالم تطمن ولا تحمل اي فكر اطلع اجازتك واعتبر ان الشغل بيمشي وكانك موجود,Najdi
اطفال,وعايشنا بها القرية علشان شذي,Khaliji
اطفال,يا بنتي لا,Hijazi
اطفال,سالي يا ريت لما تقابلي ساري لا تجيبي له سيرة على الموضوع هذا حتى لو هو فتح الموضوع,Khaliji
اطفال,خلينا نشوف,Najdi
اطفال,وبرضه ماني فاهم منه اي شي,Hijazi
اطفال,المهم انكم انتو تستغلوا الفرصة هذه بشكل صحيح لانه الفرصة هذه لو راحت ما راح ترجع تاني,Khaliji
درامي,بس لا تخافي اللي خلاني اجيب الصورة,Khaliji
درامي,اخوك يا عمتي نوف خذ مفاتيح السيارة,Khaliji
اطفال,الشوكة هذي نضيفة تفضل,Khaliji
اطفال,الضيف الضيف هو,Najdi
درامي,وينكم في صار لي ساعة انادي عليكم,Khaliji
درامي,صدقيني ترى كل الرجال ما ينفع معاهم غير كذا,Hijazi
كوميدي,ايش فيكم انتو انتو ماخذين مو موافق وبس كل واحد يوقف على طوله مو موافق,Khaliji
اطفال,غيرواضح سوى حاجتين,Najdi
كوميدي,كانت تقول لي اسمعي كلام زوجك ولا تردينلا طلب,Khaliji
اطفال,و تسمعوا الكلام اللي انا بقوله,Hijazi
درامي,لا يا بنتي,Khaliji
كوميدي,ارحب بكم و باقلامكم,Hijazi
درامي,احمد,Hijazi
كوميدي,اخذه اخوي,Khaliji
درامي,وهذا شيء يقهر,Khaliji
اطفال,على العموم انا بستفسر عن حالاتها بس شكرا شكرا جدو سرحان مع السلامة,Hijazi
كوميدي,وش ذا الشاي خفيف,Khaliji
درامي,طالع في صحنك يا بني ادم يا بني ادم يا بني ادم كل بالهنا و الشفا يا تاكل يا تقول شبعت وتقوم,Najdi
درامي,وانا ابوك مو بس في وجه كلام وبمخباتي كلام,Najdi
كوميدي,انت مريض,Najdi
كوميدي,اجي هنا وين,Najdi
اطفال,طالع انت شايف بعينك,Khaliji
كوميدي,انتي انهبلتي انتي,Najdi
درامي,ايش قلتي يا اغلى للناس,Najdi
اطفال,ايوا ايوا بدون اتهام لاي احد ها لا لا احنا جينا بسيارتك ايوا لقيناها ايش,Hijazi
درامي,يي,Najdi
اطفال,ان شاء الله راح ينجح الخير والكرم دائما موجودين في الدنيا وحتى لو زادت الانانيه عمرها عمرها ما تكون هي الاساس,Hijazi
كوميدي,يعطون فادي اللي قالهم تكفى من حسابهم الخاص,Hijazi
اطفال,لكن فيه شهود شافوكوا,Hijazi
كوميدي,والله يا اخي عز الله مقامك انت والله احسن حاجة في السعودية والله انت,Khaliji
كوميدي,السلام عليكم ابو عبد الرحمن ابو عبد الرحمن ذاك من اول هنا قول نزار ما شاء الله وسمعت نزار,Hijazi
درامي,انتي الي مسوية في نفسك كده يا ماما,Khaliji
