Category,ProcessedText,SpeakerDialect
درامي,هي قالت لي بلسانها انه انا فتشتها,Egyptian
كوميدي,ام ماشي,Egyptian
اطفال,مستحيل كيف حدث هذا,Egyptian
كوميدي,البضاعة دي قيمته ربع مليون جنيه يعني لو دبحتكم انتوا التلاتة وقطعتوكم عملتكم لحمة وعملت منكم مفروم مش حجيبوا ربع القيمة حتى بالهدوم اللي انتوا لابسنها,Egyptian
كوميدي,اسال عمرالشريف قعد اد ايه في الجبال فهم فانت تروح تقعد في الجبل لغاية ما تبقى نجم انا هعملك فيلم اسمه بطل الجبل,Egyptian
اطفال,ما قلتلك ناسبه انا قلتلك اشتغل معاه يعني شوف ايش يسوي واعمل زيه وبعد كدة انت تروحين لحالك وهو يروح لحاله,Egyptian
درامي,اطمني يا حبيبتي,Egyptian
كوميدي,يلا خلوه اطلعوا برا بس انتظرونا شوية ان شاء الله ان شاء الله,Egyptian
كوميدي,ايه رايكو بقى ما ما تيجو نلعب كعابة و واذا طلعت ع الخط انا ما عنديش مانع ها,Egyptian
كوميدي,والله لو تطلبيني قوات الامن الخاصة,Egyptian
كوميدي,اخ يا نهار اسود,Egyptian
درامي,اه فزت بالجنه,Egyptian
درامي,وان مهما الانسان اوتي من العلم مايقدرش يحسبها بالمزبوط ابدا,Egyptian
درامي,دى فيديو لوحدة مريضة بتضرب ابنها بشكل بشع قال ايه عشان ابوه طلقها لا وبتصور الولد وهي بتضربه هي في قلبها ايه ازي تقدر تعمل كده,Egyptian
درامي,مرسي يا حبيبتي,Egyptian
درامي,باقولك ايه يا دكتور سلطان,Egyptian
درامي,فعلا الجو برد قوي,Egyptian
كوميدي,يعني مش هنلعب يعني مش هنلعب كعابة,Egyptian
كوميدي,سامع حقي يعني,Egyptian
كوميدي,بس يخرب بيتك,Egyptian
كوميدي,بانتظاركوا اوعوا تنسوا,Egyptian
كوميدي,زي ما قالتلك ماما الخير كتير الحمد لله يعني حاجات بسيطة كده خمس قرى سياحية في اسكندرية,Egyptian
درامي,انتي فتحت الاكاونت بتاعك على الابليكشن دا تاني,Egyptian
كوميدي,ما قدرتش لكن لاقيت انه افضل,Egyptian
اطفال,ولا كلمة انتي حتردي عليا ولا ايه هس,Egyptian
درامي,مسافة ما تقفل هتلاقي عندك اللوكيشن,Egyptian
كوميدي,ان شاء الله بس خلوه شوي يرتاح الان وان شاء الله بعد تاخذونه معاكم,Egyptian
كوميدي,احنا موافقين ايس اس اس الناس اللي منورنا حبايب البي اهل العريس اهل العروسة الناس الكومة للي منورنا اقدم لكم لمعة الاحساس لمعة الشجن والطرب العاطفي المطرب خالد حركة,Egyptian
اطفال,معلمك يا مرعي قول للواد اللي على المطبخ يشوف شغله كويس لحسن اكل خشمه,Egyptian
درامي,عرف اني خدتك من شغلك كمان,Egyptian
درامي,اسمع يا سلطان,Egyptian
كوميدي,يعني ما فيش في العالم كله الا عامر ادرسه عامر,Egyptian
اطفال,حمدان حمدان,Egyptian
كوميدي,اه بتعتي انا,Egyptian
كوميدي,كثر الله من امثالك تمام,Egyptian
كوميدي,اللي اقصد اقوله انه ما فيش داعي للورق بينا,Egyptian
درامي,عملت كده يا مفتريه,Egyptian
درامي,الكلب الحقير,Egyptian
كوميدي,ايوة,Egyptian
درامي,سلطان انا حاسس حالي بالسعودية هون ضايع,Egyptian
درامي,انا حاسس اني حاستفيد منه كوييس,Egyptian
درامي,تصدق يا فهد,Egyptian
درامي,وش اكثر حاجة,Egyptian
درامي,طيب واصحابي شلون بعزمهم,Egyptian
درامي,انا واثق فيك,Egyptian
كوميدي,اذا مش حرام عليك,Egyptian
درامي,راح يتم التحفظ عليهم واتخاذ الاجراءات اللازمة معاهم,Egyptian
درامي,الحالة دلوقتي مستقرة,Egyptian
اطفال,بيع البضاعة واكسب فلوس كتير,Egyptian
درامي,يا ساتر عليكي لما بتضربي بوز بتبقى شبه واحد صاحبي,Egyptian
كوميدي,انا الكومانده انا زورنبيح الارندلي ما حدش بيضحك عليا اللوكيشن كله ينزبط,Egyptian
